cpv,dataset,value
50,facebook,2.764813129
60,facebook,0.397859562
70,facebook,1.140446562
80,facebook,0.550165176
90,facebook,0.589212916
100,facebook,0
50,residential,7.638029624
60,residential,11.29734632
70,residential,5.252543757
80,residential,3.628383167
90,residential,4.95522146
100,residential,0
50,superconductor,34.06343296
60,superconductor,32.61439615
70,superconductor,30.9048392
80,superconductor,26.95276583
90,superconductor,23.74819793
100,superconductor,0
50,wine_red,2.241326374
60,wine_red,2.272029475
70,wine_red,2.149217071
80,wine_red,1.335584894
90,wine_red,0.936444581
100,wine_red,0
50,wine_white,9.104180491
60,wine_white,6.715328467
70,wine_white,6.688785667
80,wine_white,6.741871267
90,wine_white,4.631718646
100,wine_white,0
