feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54
634995,0,463,1,1,17,7,2,6.6633325,1,17,5,2,6.033241252,0,10,2,0,4,1,17,7,2,6.6633325,-7,17,3,2,7.771743691,2,2,0,2,2,2,84,2,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
634995,0,463,1,1,17,7,2,6.6633325,1,17,5,2,6.033241252,0,10,2,0,4,1,17,7,2,6.6633325,-7,17,3,2,7.771743691,2,2,0,2,2,13,89,1,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
634995,0,463,1,1,17,7,2,6.6633325,1,17,5,2,6.033241252,0,10,2,0,4,1,17,7,2,6.6633325,-7,17,3,2,7.771743691,1,1,0,1,1,2,154,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
634995,0,463,1,1,17,7,2,6.6633325,1,17,5,2,6.033241252,0,10,2,0,4,1,17,7,2,6.6633325,-7,17,3,2,7.771743691,13,3,10,13,-7,30,118,2,0,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
634995,0,463,1,1,17,7,2,6.6633325,1,17,5,2,6.033241252,0,10,2,0,4,1,17,7,2,6.6633325,-7,17,3,2,7.771743691,17,17,0,17,17,17,183,1,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4394623,0,151766,2,1484,1484,1484,1484,0,1484,1484,1484,1484,0,0,0,0,0,0,1484,1484,1484,1484,0,1484,1484,1484,1484,0,1484,1484,0,1484,1484,16,98,1815,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,292
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,0,0,0,0,0,39,138,1,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,0,0,0,0,0,20,213,2,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,5,3,2,5,1,25,247,3,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,585,585,0,585,585,10,467,1343,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,47
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,5,5,0,5,5,19,254,1,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,11,2,9,9,-7,37,108,21,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,8,8,0,8,8,19,395,15,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,10,10,0,10,10,7,211,3,0,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,233,233,0,233,233,12,335,200,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,10,10,0,10,10,18,196,3,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,3,2,1,2,1,30,185,11,0,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,12,12,0,12,12,22,174,1,0,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,5,5,0,5,5,17,961,1,0,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3566966,0,38251,3,0,585,64.21428571,9,155.733829,0,585,63.35714286,6.5,156.0529247,0,9,0.857142857,0,2.325545799,0,585,64,8.5,155.8116995,-7,585,62.5,6.5,156.4059507,12,12,0,12,12,9,323,1,0,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
3995273,0,297147,4,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,606,606,0,606,606,8,19,246,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,236
3995273,0,297147,4,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,168,168,0,168,168,3,35,156,0,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,79
3995273,0,297147,4,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,31,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3995273,0,297147,4,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,303,303,0,303,303,23,0,2988,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,34
3995273,0,297147,4,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,626,626,0,626,626,22,14,525,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76
3995273,0,297147,4,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,294,294,0,294,294,6,52,452,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,227
3995273,0,297147,4,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,549,549,0,549,549,11,21,232,0,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,86
3995273,0,297147,4,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,719,719,0,719,719,8,37,311,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,140
3995273,0,297147,4,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,719,362.7777778,303,258.0855921,0,719,362.7777778,303,258.0855921,0,0,0,0,0,0,42,52,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,134
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,6,6,0,6,6,8,1920,49,0,21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
798622,0,34668,5,0,977,30.47959184,3,112.4181543,0,977,27.07142857,2,109.8658969,0,197,3.265306122,0,20.39034937,0,977,30.09183673,3,112.0430936,-115,977,23.80612245,1,111.0316794,15,15,0,15,15,11,152,2,0,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
