"","","target"
"1",-3.30437018749004,410
"2",2.82551810850305,1000
"3",-7.91987778487574,170
"4",-12.3126787367833,30
"5",14.4061702281337,700
"6",14.3756781704836,700
"7",15.9709075060456,900
"8",20.6020976382799,600
"9",-8.95313127222083,110
"10",-4.79264278900746,190
"11",-7.4278771879758,150
"12",-4.14886483229487,190
"13",-10.6306062025298,130
"14",4.7532594826087,450
"15",12.6524858704446,520
"16",2.77695405660693,380
"17",10.9746853675224,590
"18",6.48638256947069,630
"19",14.2881284640362,650
"20",4.78654449758917,450
"21",2.41119562232117,300
"22",0.343674797054661,360
"23",12.6212438987532,620
"24",2.75889661466621,380
"25",4.64991437047244,370
"26",-2.51030919123244,190
"27",-10.3667880353813,90
"28",-7.36795324901761,160
"29",9.39548804143218,440
"30",-4.59703157814632,180
"31",8.16935449962244,400
"32",-11.7828945781606,145
"33",9.231400580864,600
"34",4.59380675402018,580
"35",-12.1718781459709,40
"36",17.32732674787,480
"37",-1.21194557430271,230
"38",-2.50915689696434,170
"39",-2.0036165958504,190
"40",4.57527349816708,430
"41",0.20809239560975,440
"42",-8.64936464082712,110
"43",-11.8637236179092,160
"44",-3.24539281580175,160
"45",-12.0695007375786,30
"46",6.90378277220546,490
"47",2.57441398124163,270
"48",-4.30120501686549,210
"49",-8.80963236198031,120
"50",2.64365308325186,450
"51",-7.02092079151059,160
"52",6.84692458833485,460
"53",-0.788969060134264,300
"54",-3.5194661889379,140
"55",-4.84368154426149,190
"56",12.4778208538669,530
"57",5.27273655629541,700
"58",-9.34631289965306,180
"59",-4.39563116539304,900
"60",-11.860477534224,130
"61",15.4790297921067,450
"62",20.5789509034124,650
"63",21.1189674036458,700
"64",-8.93078134422965,80
"65",-3.8872705444116,180
"66",2.3159857288327,330
"67",2.67326876295917,290
"68",4.74340785499085,400
"69",-10.1436420940756,90
"70",-10.4578235887359,90
"71",-8.80768601636461,110
"72",0.28138390896416,290
"73",-9.2337922819762,100
"74",0.0773996701902146,340
"75",-6.42974374633147,140
"76",-12.0872911137007,70
"77",2.36267298746483,300
"78",8.31523718581413,410
"79",2.73442866768937,340
"80",1.53420482636747,260
"81",8.36716034010056,430
"82",3.91740595969056,370
"83",-6.17796175513791,150
"84",-3.45430243712971,140
"85",-8.83434163372691,80
"86",14.1080576254948,510
"87",20.4057150889545,650
"88",-4.82055930297163,320
"89",-7.89522106830122,250
"90",1.50414553324443,330
"91",5.69005022459985,450
"92",-4.86548556878745,200
"93",-3.5117178296184,200
"94",13.9038348772908,370
"95",18.9766332633762,400
"96",10.6005096916401,390
"97",8.04764780112958,370
"98",21.5706500921252,390
"99",-8.82074759658071,130
"100",9.12229814087898,440
"101",0.156174368140282,350
"102",-4.90495252835602,120
"103",-9.38660936662607,120
"104",-8.83251815447254,120
"105",-4.7072211166618,170
"106",-6.26456758759156,110
"107",-0.0363174769250264,220
"108",4.49040994629717,430
"109",-4.29008984425338,130
"110",-12.2156020069504,60
"111",-11.4713117718114,30
"112",-4.31187863151906,150
"113",-8.69353241538762,110
"114",-1.06122833584421,240
"115",-12.2920201801596,30
"116",2.29430377600138,440
"117",-5.83302129217765,110
"118",-1.03254842425808,310
"119",-5.42909737389537,140
"120",-1.03926352149679,240
"121",-8.85057698077742,90
"122",-11.4876962136444,70
"123",-8.6626219429788,90
"124",10.6724510388741,450
"125",-5.34424898359301,130
"126",4.99852417138483,430
"127",-3.19542880777267,160
"128",-8.96947821076467,100
"129",6.81392913471563,420
"130",0.0442549370027222,320
"131",-3.20401630074756,140
"132",4.59015631207987,420
"133",9.10052130832323,470
"134",-8.49448554767943,120
"135",-7.03379775705691,110
"136",-10.6955168042349,90
"137",-10.6862434133997,60
"138",5.73410462613873,420
"139",0.014861237392902,400
"140",-3.15558598484678,200
"141",-4.86519851154908,180
"142",-10.6598473564812,70
"143",-8.8026209724669,110
"144",-11.9288578527764,140
"145",3.23959660749486,300
"146",8.22150137694413,430
"147",14.2130934152328,460
"148",-6.45881831630178,100
"149",-9.34023134591589,110
"150",-4.23913301068201,180
"151",1.57333031736342,300
"152",-1.01222384916147,220
"153",10.7499513187877,410
"154",-6.26554041022074,130
"155",-3.16497468022681,190
"156",10.7200221949021,390
"157",-3.51245338072289,110
"158",18.9458943039717,420
"159",-10.1363590885828,100
"160",0.850085321565379,300
"161",3.78743879206476,440
"162",-1.18239951243892,250
"163",-9.67329691325408,90
"164",-10.4899726528213,60
"165",10.5905157239348,400
"166",-10.1320815799803,90
"167",-7.94401758499225,120
"168",0.157388277904856,300
"169",-7.92246148932624,100
"170",-8.04371926953522,110
"171",-3.50703284803322,200
"172",-3.93867169682398,140
"173",-1.07637303656582,250
"174",5.63108722857563,360
"175",-11.8787130338013,50
"176",-3.91427446582845,180
"177",-10.0969404319502,100
"178",-7.92194644907081,90
"179",4.44660659381306,350
"180",-0.00357735943380437,250
"181",-8.6932858474434,100
"182",-1.23814788525972,150
"183",-0.848836207414621,210
"184",-9.37619954484347,90
"185",-6.28771933971597,110
"186",5.57623398307713,390
"187",9.11326967613116,470
"188",-4.74779948548216,140
"189",-1.24366234401129,170
"190",-3.2114448953716,160
"191",-0.525421566523537,300
"192",4.44441168699099,350
"193",-12.1439650208453,50
"194",3.79551451550949,400
"195",2.28366191387601,360
"196",-11.8821227378913,70
"197",-4.87869163885918,140
"198",0.823778831619257,240
"199",-7.9288427667739,100
"200",-4.32042712920106,140
"201",8.04681414884883,420
"202",2.50753282023595,260
"203",-4.7553180644578,170
"204",-2.58086615752395,180
"205",3.6260298687294,210
"206",2.47683755931279,260
"207",-0.905208585877866,210
"208",-1.14903203479315,170
"209",-12.0996495247002,90
"210",-11.8403894680959,50
"211",2.16701343069307,220
"212",-0.0831470172553913,210
"213",-11.1396226877748,60
"214",-3.20687785776271,110
"215",-5.8294643522369,100
"216",-8.96780468133892,80
"217",9.05162701024385,410
"218",-5.89400346736602,80
"219",-3.24929094580408,120
"220",-1.12832927260269,160
"221",-0.045545882887489,230
"222",-0.0663229769766686,200
"223",-3.94149105922727,140
"224",-12.1264656430764,30
"225",-3.23219694331074,140
"226",4.81143602653281,330
"227",-6.27836888602054,110
"228",13.9931913867825,500
"229",-7.96835203488509,70
"230",-9.77171454805639,70
"231",-9.7504521348944,60
"232",-6.49852900972802,70
"233",-12.1123860485038,30
"234",0.0698638368197161,190
"235",0.797093373962875,220
"236",-10.4702891594136,80
"237",-8.69816752376861,80
"238",1.43513986972519,210
"239",4.38387541761403,310
"240",-4.88763234650681,100
"241",-6.17072137439115,350
"242",-5.45724754691943,110
"243",-7.47519122889726,90
"244",-3.56091513150932,100
"245",-12.2865651241752,30
"246",-5.46415695794265,80
"247",-2.56894867072754,170
"248",8.05487146660843,380
"249",-8.69150861489095,80
"250",-8.98650156550897,50
"251",-8.68639802668497,70
"252",-4.26728085664936,120
"253",-2.56021708067802,120
"254",0.0935275470577123,190
"255",-4.898732419375,100
"256",13.8316670358409,350
"257",8.00075953203619,270
"258",-11.1260823131885,20
"259",2.14130844807483,280
"260",-0.863759442818169,230
"261",13.7948772554344,320
"262",-3.25080608820238,130
"263",10.5572741832694,330
"264",15.3098197155637,430
"265",-9.74325931174474,70
"266",5.54686808029347,360
"267",-1.10794083837583,160
"268",2.09507697811072,210
"269",-6.48471221760204,90
"270",6.62847602407361,240
"271",-7.47559977329087,80
"272",8.97344249570744,300
"273",0.851254459763756,150
"274",-8.49669870861916,80
"275",-9.35782012240076,50
"276",2.50428299858639,230
"277",13.8800004583756,370
"278",13.8474573265074,310
"279",-8.49237768664077,50
"280",-10.619198845097,60
"281",-7.96141850178951,60
"282",-2.57490066487893,130
"283",-4.31955244634677,100
"284",6.66712218972182,270
"285",0.0176028225207563,150
"286",-11.1185287834658,20
"287",12.115690629624,310
"288",-4.31915680070296,90
"289",-6.47105908644434,70
"290",-0.0860003736667811,190
"291",-9.22409902160886,70
"292",-1.29602899591198,110
"293",0.752584611717735,140
"294",8.98935019865822,350
"295",13.8296867975386,430
"296",15.2101085317972,350
"297",2.13258748704462,270
"298",-4.31038441412876,80
"299",3.66464530276454,220
"300",8.03877530781437,330
"301",12.1478886338513,300
"302",-8.70253928088915,50
"303",13.8691887350776,390
"304",3.04667101507433,210
"305",5.53585482980518,340
"306",13.8455541641763,350
"307",3.61670201452724,160
"308",-2.03510461737802,120
"309",7.98297657689007,270
"310",3.01036529118426,160
"311",-12.2714744962445,20
"312",0.733985061723035,190
"313",6.63745897486765,260
"314",3.68865868982664,210
"315",-0.0867123893014227,140
"316",13.8128073112491,330
"317",-0.945530759869657,90
"318",2.0870007263346,160
"319",8.97960800241384,260
"320",-8.96879588943742,50
"321",8.95555390262471,250
"322",-9.34712163048449,40
"323",5.47533051197086,230
"324",-0.130709389263621,110
"325",-5.47086790894124,70
"326",0.723997168942446,160
"327",4.74709122439099,200
"328",-8.53619047631754,40
"329",15.2384032179441,420
"330",15.304904725034,400
"331",-8.87981341872916,50
"332",5.49595511793033,240
"333",12.236581174091,420
"334",3.03818482237943,220
"335",-3.55327257047268,100
"336",2.12489073304447,200
"337",8.02508874306372,300
"338",13.8729084360278,330
"339",17.1904737408611,300
"340",19.3223570305591,350
"341",10.6572778279087,300
"342",-4.70226292609337,60
"343",21.298655858028,450
"344",-6.4657728724377,50
"345",-0.0695329943916817,120
"346",9.0036165219348,240
"347",-10.4610265359407,30
"348",-8.06488353120363,40
"349",-8.83270601273292,50
"350",9.0359514900815,300
"351",8.02367127722603,220
"352",13.791873848992,270
"353",-6.2842789118697,60
"354",13.843095272123,290
"355",2.08851985386348,160
"356",0.0583149698794152,100
"357",8.04430723760977,240
"358",-8.06523745497437,50
"359",17.1644814808172,320
"360",15.2599597649674,280
"361",8.97685086288264,220
"362",13.9778152037837,310
"363",2.51343875879787,190
"364",5.50493950883229,170
"365",4.86274222239438,300
"366",8.98470617914504,200
"367",-4.76193652080655,70
"368",1.44404097650503,150
"369",-3.25425665726129,80
"370",3.67427982917227,220
"371",-0.890711430254486,110
"372",-4.9210073924238,50
