"","ï..feature_01","feature_02","feature_03","feature_04","feature_05","feature_06","feature_07","feature_08","feature_09","feature_10","feature_11"
"ï..feature_01",1,-0.256130894770382,0.671703434764107,0.114776724494921,0.0937051863213054,-0.153790799801055,-0.113198184240341,0.668047292118974,-0.682978194568532,0.183005663932153,-0.0616682706394906
"feature_02",-0.256130894770382,1,-0.552495684559579,0.00191788196279069,0.0612977724764616,-0.0104869512984309,0.07647947691673,0.0220262321952158,0.234937294407393,-0.260986685283289,-0.20228802714953
"feature_03",0.671703434764107,-0.552495684559579,0.999999999999993,0.143577161570314,0.203822913829042,-0.0608846854823795,0.035505919310343,0.364947175211251,-0.541904144739509,0.312770043854416,0.109903246633886
"feature_04",0.114776724494921,0.00191788196279069,0.143577161570314,1,0.0556095352035322,0.187309712385445,0.203047971412029,0.355283370983377,-0.0856524222188719,0.00552712133913827,0.0420754372117496
"feature_05",0.0937051863213054,0.0612977724764616,0.203822913829042,0.0556095352035322,1,0.00562686746674872,0.047401847331059,0.200632326641512,-0.265026131173228,0.371260481285425,-0.221140544788909
"feature_06",-0.153790799801055,-0.0104869512984309,-0.0608846854823795,0.187309712385445,0.00562686746674872,1,0.668025264182615,-0.0219809635991992,0.0702880196757197,0.0516056843043303,-0.0693460568774687
"feature_07",-0.113198184240341,0.07647947691673,0.035505919310343,0.203047971412029,0.047401847331059,0.668025264182615,1,0.0712564275800407,-0.0665070472098874,0.0429226996168377,-0.20566669952878
"feature_08",0.668047292118974,0.0220262321952158,0.364947175211251,0.355283370983377,0.200632326641512,-0.0219809635991992,0.0712564275800407,1,-0.34169933478503,0.148506411720786,-0.496179770244488
"feature_09",-0.682978194568532,0.234937294407393,-0.541904144739509,-0.0856524222188719,-0.265026131173228,0.0702880196757197,-0.0665070472098874,-0.34169933478503,0.999999999999999,-0.19664760230437,0.205632508512421
"feature_10",0.183005663932153,-0.260986685283289,0.312770043854416,0.00552712133913827,0.371260481285425,0.0516056843043303,0.0429226996168377,0.148506411720786,-0.19664760230437,1,0.093594750412448
"feature_11",-0.0616682706394906,-0.20228802714953,0.109903246633886,0.0420754372117496,-0.221140544788909,-0.0693460568774687,-0.20566669952878,-0.496179770244488,0.205632508512421,0.093594750412448,0.999999999999998
